step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
56,47864,56,0.017721159874972584,0.0,0.0,,,,,
57,48857,57,0.018550530526937493,0.0,0.0,0.015756723759729054,0.0,0.6666666666666666,,
58,49546,58,0.015428292461019321,0.0,0.6666666666666666,,,,,
59,50427,59,0.01158190131869403,0.0,0.6666666666666666,,,,,
60,51108,60,0.012923055162667771,0.0,0.6666666666666666,,,,,
61,51893,61,0.013813667508993778,1.0,1.0,,,,,
62,52886,62,0.01462829911397871,0.0,0.6666666666666666,,,,,
63,53471,63,0.0119635986752387,0.0,0.6666666666666666,,,,,
64,54168,64,0.01489187548268465,1.0,1.0,,,,,
65,54953,65,0.014259663696640962,1.0,1.0,0.011105494549209996,0.0,0.6666666666666666,,
66,55586,66,0.020784496396100784,0.0,0.6666666666666666,,,,,
67,56635,67,0.016476041955155705,0.0,0.6666666666666666,,,,,
68,57644,68,0.014211865021689273,0.0,0.6666666666666666,,,,,
69,58197,69,0.012818119249790661,1.0,1.0,,,,,
70,59030,70,0.014486832328386098,0.0,0.6666666666666666,,,,,
71,59775,71,0.013120572545885716,1.0,1.0,,,,,
72,60488,72,0.012846002963097418,0.0,0.6666666666666666,,,,,
73,61401,73,0.013572208053583475,1.0,1.0,0.017687347335636528,0.0,0.0,,
74,62594,74,0.009805152246768527,1.0,1.0,,,,,
75,63411,75,0.012272171616756587,1.0,1.0,,,,,
76,64220,76,0.012053959143533298,0.0,0.6666666666666666,,,,,
77,64917,77,0.02036547839594448,0.0,0.0,,,,,
78,65606,78,0.012205817285829808,1.0,1.0,,,,,
79,66351,79,0.012006372278872924,0.0,0.6666666666666666,,,,,
80,67432,80,0.01397043923701618,1.0,1.0,,,,,
81,68089,81,0.014502679730729518,0.0,0.6666666666666666,0.011915725772991532,1.0,1.0,,
82,69122,82,0.010666088881035561,0.0,0.6666666666666666,,,,,
83,70075,83,0.013310469893580056,0.0,0.0,,,,,
84,71196,84,0.011636979597919468,1.0,1.0,,,,,
85,72309,85,0.013704249991806545,1.0,1.0,,,,,
86,73270,86,0.017759777072208625,0.0,0.0,,,,,
87,74151,87,0.014744307214906856,0.0,0.0,,,,,
88,74936,88,0.016039901339340416,0.0,0.6666666666666666,,,,,
89,75977,89,0.0077745088288593365,0.0,0.6666666666666666,0.016819706093215665,1.0,1.0,,
90,76634,90,0.014971088818500955,0.0,0.6666666666666666,,,,,
91,77291,91,0.013764133875349773,0.0,0.6666666666666666,,,,,
92,78236,92,0.011152033037913216,1.0,1.0,,,,,
93,78901,93,0.015718776205375543,0.0,0.6666666666666666,,,,,
94,79942,94,0.012041195722509944,1.0,1.0,,,,,
95,81055,95,0.01046655484263701,1.0,1.0,,,,,
96,81784,96,0.01206913524183589,0.0,0.6666666666666666,,,,,
97,82521,97,0.01175923739739493,0.0,0.6666666666666666,0.01143756886728219,1.0,1.0,,
98,83194,98,0.010392318766524902,1.0,1.0,,,,,
99,83939,99,0.012874135314709403,1.0,1.0,,,,,
100,84844,100,0.013681652349632542,1.0,1.0,,,,,
101,85573,101,0.010683064392335549,0.0,0.6666666666666666,,,,,
102,86286,102,0.015891784339145565,1.0,1.0,,,,,
103,86927,103,0.009948783378004249,1.0,1.0,,,,,
104,87824,104,0.014039486163540865,0.0,0.0,,,,,
105,88945,105,0.008613567768789916,0.0,0.6666666666666666,0.013435762129325946,0.0,0.0,,
106,90146,106,0.013353356098713073,0.0,0.0,,,,,
107,91299,107,0.013070487239317523,1.0,1.0,,,,,
108,91956,108,0.013176613350402962,0.0,0.6666666666666666,,,,,
109,92565,109,0.010581504352248213,1.0,1.0,,,,,
110,93462,110,0.012443715030550515,1.0,1.0,,,,,
111,94287,111,0.013017713410941885,1.0,1.0,,,,,
112,95216,112,0.016040965481159932,0.0,0.6666666666666666,,,,,
113,96265,113,0.011341760070528114,0.0,0.6666666666666666,0.009277227447403408,1.0,1.0,,
114,97098,114,0.013032614679104007,0.0,0.6666666666666666,,,,,
115,97955,115,0.010510246426613676,0.0,0.6666666666666666,,,,,
116,98500,116,0.012338645309165541,1.0,1.0,,,,,
117,99301,117,0.018115086164787245,0.0,0.0,,,,,
118,100078,118,0.012169862101678355,0.0,0.0,,,,,
119,100831,119,0.011595834618256974,1.0,1.0,,,,,
120,101800,120,0.01220894952883301,1.0,1.0,,,,,
121,102809,121,0.013683544007561629,1.0,1.0,0.01135119341727695,1.0,1.0,,
122,103546,122,0.016823391827089557,0.0,0.6666666666666666,,,,,
123,104139,123,0.01742711962841655,0.0,0.6666666666666666,,,,,
124,104812,124,0.014287126790795105,0.0,0.6666666666666666,,,,,
125,105781,125,0.014053022829563395,0.0,0.6666666666666666,,,,,
126,106638,126,0.011323974739649406,1.0,1.0,,,,,
127,107343,127,0.014730083820308344,0.0,0.0,,,,,
128,108312,128,0.013532891761557371,0.0,0.6666666666666666,,,,,
129,109217,129,0.012646650599558657,0.0,0.6666666666666666,0.009415829816848619,0.0,0.6666666666666666,,
130,110618,130,0.007417539031749055,1.0,1.0,,,,,
131,111571,131,0.013807636380800823,1.0,1.0,,,,,
132,112452,132,0.01415764315657228,0.0,0.0,,,,,
133,113445,133,0.012236924493612638,0.0,0.0,,,,,
134,114350,134,0.01323844229188361,1.0,1.0,,,,,
135,115359,135,0.014656230580413713,1.0,1.0,,,,,
136,116008,136,0.014297946335724029,0.0,0.6666666666666666,,,,,
137,116617,137,0.012437730751953117,0.0,0.6666666666666666,0.011922591022038943,1.0,1.0,,
138,117450,138,0.012552149811093044,1.0,1.0,,,,,
139,118051,139,0.013803112343896341,1.0,1.0,,,,,
140,118836,140,0.01385128326366638,0.0,0.0,,,,,
141,119845,141,0.010640767118090541,1.0,1.0,,,,,
142,120806,142,0.012628627587398833,1.0,1.0,,,,,
143,121447,143,0.014751598552139023,0.0,0.6666666666666666,,,,,
144,122392,144,0.012828326152073072,0.0,0.0,,,,,
145,123129,145,0.012770818587272427,0.0,0.6666666666666666,0.015032487042327269,0.0,0.0,,
146,123826,146,0.013274510695828762,1.0,1.0,,,,,
147,125059,147,0.011339897641449331,1.0,1.0,,,,,
148,125828,148,0.012363787344901081,1.0,1.0,,,,,
149,126565,149,0.01149336274406773,0.0,0.0,,,,,
150,128030,150,0.011465836197131683,1.0,1.0,,,,,
151,129135,151,0.010787162275493482,0.0,0.6666666666666666,,,,,
152,130040,152,0.016140157318600582,0.0,0.6666666666666666,,,,,
153,131113,153,0.01135747072526345,0.0,0.0,0.013355487632047225,0.0,0.0,,
154,132162,154,0.01826889605156193,0.0,0.0,,,,,
155,132763,155,0.014954590039953787,0.0,0.6666666666666666,,,,,
156,133652,156,0.012040534309692968,1.0,1.0,,,,,
157,134325,157,0.013054859259161507,1.0,1.0,,,,,
158,135486,158,0.01598458406920503,0.0,0.6666666666666666,,,,,
159,136271,159,0.012671063241632917,0.0,0.6666666666666666,,,,,
160,136920,160,0.014500108722056777,0.0,0.0,,,,,
161,137809,161,0.008688142468265781,1.0,1.0,0.010527408380037847,1.0,1.0,,
162,138698,162,0.011748669355573255,0.0,0.6666666666666666,,,,,
163,139347,163,0.01447057331608624,1.0,1.0,,,,,
164,140324,164,0.014049243929242852,0.0,0.0,,,,,
165,141181,165,0.014965189740341764,1.0,1.0,,,,,
166,141742,166,0.016867691144385345,0.0,0.6666666666666666,,,,,
167,142511,167,0.016390400303533646,0.0,0.6666666666666666,,,,,
168,143208,168,0.014917003833363144,0.0,0.6666666666666666,,,,,
169,143857,169,0.014452654551559167,1.0,1.0,0.01102868208482076,1.0,1.0,,
170,144362,170,0.011468597539771329,1.0,1.0,,,,,
171,145371,171,0.01680434970681803,0.0,0.0,,,,,
172,146180,172,0.010953344635253283,1.0,1.0,,,,,
173,146861,173,0.015269311447395241,0.0,0.6666666666666666,,,,,
174,147678,174,0.012232468468191805,1.0,1.0,,,,,
175,148375,175,0.013419371784425507,0.0,0.0,,,,,
176,149120,176,0.014765932296133774,1.0,1.0,,,,,
177,149737,177,0.012378771059533066,1.0,1.0,0.010939167299069573,0.0,0.0,,
178,150602,178,0.009676116236352278,1.0,1.0,,,,,
179,151363,179,0.016814098134472835,0.0,0.0,,,,,
180,152268,180,0.013345970542615826,1.0,1.0,,,,,
181,153069,181,0.012033528122167217,1.0,1.0,,,,,
182,153958,182,0.014148992427636724,1.0,1.0,,,,,
183,154487,183,0.012013845436809497,0.0,0.6666666666666666,,,,,
184,155392,184,0.011166019740108512,1.0,1.0,,,,,
185,156233,185,0.015457411591515308,0.0,0.6666666666666666,0.01385030456659667,0.0,0.0,,
186,157090,186,0.01394098901852749,1.0,1.0,,,,,
187,157803,187,0.01260838418954034,0.0,0.6666666666666666,,,,,
188,158572,188,0.010662547315057317,1.0,1.0,,,,,
189,159333,189,0.015245605182904512,0.0,0.0,,,,,
190,160214,190,0.01038532306811871,1.0,1.0,,,,,
191,160927,191,0.01341120188822794,0.0,0.6666666666666666,,,,,
192,161704,192,0.011950584862811083,1.0,1.0,,,,,
193,162641,193,0.015125621521440478,0.0,0.0,0.011840508985447553,1.0,1.0,,
194,163714,194,0.013476543639164408,0.0,0.0,,,,,
195,164771,195,0.011589433264394728,1.0,1.0,,,,,
196,165500,196,0.012743479706928762,0.0,0.6666666666666666,,,,,
197,166293,197,0.014917612881648928,0.0,0.6666666666666666,,,,,
198,166998,198,0.015342071356207975,0.0,0.6666666666666666,,,,,
199,167935,199,0.01314647309565838,1.0,1.0,,,,,
200,168712,200,0.009164050215366449,1.0,1.0,,,,,
201,169665,201,0.012534606115297994,0.0,0.6666666666666666,0.01264212041516698,1.0,1.0,,
202,170642,202,0.01478121139079655,0.0,0.6666666666666666,,,,,
203,171675,203,0.012972351988703662,1.0,1.0,,,,,
204,172468,204,0.014154270770276136,1.0,1.0,,,,,
205,173389,205,0.013783427638242194,0.0,0.0,,,,,
206,174270,206,0.011999191774348238,1.0,1.0,,,,,
207,174935,207,0.010149429662911965,1.0,1.0,,,,,
208,175912,208,0.01236292423002954,0.0,0.6666666666666666,,,,,
209,176641,209,0.013428598922655379,0.0,0.6666666666666666,0.010334284735323364,1.0,1.0,,
210,177298,210,0.01278139069435766,1.0,1.0,,,,,
211,178107,211,0.013604718840040279,0.0,0.0,,,,,
212,179116,212,0.01534384966351548,0.0,0.0,,,,,
213,179797,213,0.017858677036366847,0.0,0.0,,,,,
214,180766,214,0.010171114786365405,0.0,0.6666666666666666,,,,,
215,181455,215,0.015828483520704914,0.0,0.0,,,,,
216,182448,216,0.012171321572331611,1.0,1.0,,,,,
217,183361,217,0.014343508851239419,1.0,1.0,0.0138237302602758,0.0,0.6666666666666666,,
218,184282,218,0.016123759580492527,0.0,0.6666666666666666,,,,,
219,185171,219,0.013784956028431336,0.0,0.6666666666666666,,,,,
220,186100,220,0.011391578717511156,1.0,1.0,,,,,
221,187077,221,0.012531842606742621,1.0,1.0,,,,,
222,187766,222,0.014603850537689153,0.0,0.6666666666666666,,,,,
223,188671,223,0.010430734925106206,1.0,1.0,,,,,
224,189504,224,0.0130666470066709,0.0,0.6666666666666666,,,,,
