step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
77,65277,77,0.015452964219293144,0.0,0.0,,,,,
78,66006,78,0.018010316796828074,1.0,1.0,,,,,
79,66975,79,0.014859429000313529,0.0,0.6666666666666666,,,,,
80,67808,80,0.02137675193720447,0.0,0.6666666666666666,,,,,
81,68697,81,0.014329637929061119,1.0,1.0,0.01547779125844375,1.0,1.0,,
82,69522,82,0.015275245970522482,1.0,1.0,,,,,
83,70467,83,0.01068953233487973,1.0,1.0,,,,,
84,71132,84,0.015337885853786199,1.0,1.0,,,,,
85,71773,85,0.013247662250828969,1.0,1.0,,,,,
86,72718,86,0.019548549187071617,0.0,0.6666666666666666,,,,,
87,73583,87,0.0129216263110802,1.0,1.0,,,,,
88,74344,88,0.024859694232181456,0.0,0.0,,,,,
89,75401,89,0.018221074343095462,0.0,0.6666666666666666,0.021938841379244567,0.0,0.0,,
90,76314,90,0.022851595296513056,0.0,0.0,,,,,
91,76923,91,0.01408429521214274,1.0,1.0,,,,,
92,77636,92,0.018465324980410962,0.0,0.6666666666666666,,,,,
93,78309,93,0.015462561608432917,1.0,1.0,,,,,
94,78958,94,0.016872019173897346,0.0,0.0,,,,,
95,79951,95,0.018412233123875472,1.0,1.0,,,,,
96,80920,96,0.015465905483635986,1.0,1.0,,,,,
97,81753,97,0.021095826004880375,0.0,0.3333333333333333,0.02002139146892205,0.0,0.6666666666666666,,
98,82386,98,0.023842348335783463,0.0,0.6666666666666666,,,,,
99,83211,99,0.01933299504191298,0.0,0.6666666666666666,,,,,
100,84172,100,0.01693653877526414,1.0,1.0,,,,,
101,85165,101,0.016410608292298307,1.0,1.0,,,,,
102,85862,102,0.016456206202621993,0.0,0.0,,,,,
103,86631,103,0.01807285447427802,0.0,0.6666666666666666,,,,,
104,87568,104,0.017516125884053123,0.0,0.6666666666666666,,,,,
105,88521,105,0.016299886128027803,1.0,1.0,0.020075779624312173,0.0,0.0,,
106,89170,106,0.019479494413894686,1.0,1.0,,,,,
107,90163,107,0.016984559372230052,0.0,0.0,,,,,
108,91284,108,0.017226373238168207,0.0,0.6666666666666666,,,,,
109,92405,109,0.013690868283827278,1.0,1.0,,,,,
110,93086,110,0.019226699119109462,0.0,0.6666666666666666,,,,,
111,93823,111,0.019303939924949866,1.0,1.0,,,,,
112,94496,112,0.019692556809573682,0.0,0.6666666666666666,,,,,
113,95169,113,0.015834615516454195,0.0,0.6666666666666666,0.01719283481092377,1.0,1.0,,
114,96242,114,0.015025091186536643,1.0,1.0,,,,,
115,97043,115,0.01597140041925193,1.0,1.0,,,,,
116,97732,116,0.016650224181758162,1.0,1.0,,,,,
117,98429,117,0.022998188809134217,0.0,0.0,,,,,
118,99318,118,0.017266981812437215,1.0,1.0,,,,,
119,100199,119,0.018682398979263944,0.0,0.0,,,,,
120,100944,120,0.017628374471697544,0.0,0.6666666666666666,,,,,
121,101841,121,0.017602685682585193,0.0,0.0,0.015462393413087831,0.0,0.6666666666666666,,
122,102634,122,0.015841921843810183,1.0,1.0,,,,,
123,103539,123,0.020284244220793696,0.0,0.6666666666666666,,,,,
124,104324,124,0.01651659148894948,1.0,1.0,,,,,
125,105589,125,0.018464331221944526,1.0,1.0,,,,,
126,106542,126,0.02041432539071509,0.0,0.6666666666666666,,,,,
127,107455,127,0.018830579189376494,0.0,0.6666666666666666,,,,,
128,108312,128,0.014962814468169652,1.0,1.0,,,,,
129,109153,129,0.017252600756681034,1.0,1.0,0.0181119986596734,1.0,1.0,,
130,109762,130,0.013077172080859447,1.0,1.0,,,,,
131,110811,131,0.026014521851631365,0.0,0.0,,,,,
132,111540,132,0.022790239363809063,0.0,0.6666666666666666,,,,,
133,112165,133,0.025403013538969486,0.0,0.0,,,,,
134,113046,134,0.013526814437075844,1.0,1.0,,,,,
135,113807,135,0.020412428965375273,0.0,0.6666666666666666,,,,,
136,114480,136,0.01820473059181802,1.0,1.0,,,,,
137,115369,137,0.010984220665373174,1.0,1.0,0.017145662796811154,1.0,1.0,,
138,116202,138,0.01836535947567392,0.0,0.6666666666666666,,,,,
139,116931,139,0.014994662682622327,0.0,0.6666666666666666,,,,,
140,117996,140,0.013597878361929924,1.0,1.0,,,,,
141,118589,141,0.017876345620177904,1.0,1.0,,,,,
142,119174,142,0.01706075168911573,1.0,1.0,,,,,
